advertiser,year,month,amount_usd,avisos,status
AMAZON AROMA,2026,5,14446.96,52,verificado
AMBACAR,2026,1,15589.18,1332,verificado
AMBACAR,2026,2,825.21,4,verificado
AMBACAR,2026,4,48.21,2,verificado
AMBACAR,2026,5,110772.01,3913,verificado
AMBIENSA S.A.,2026,1,2358.82,311,verificado
AMBIENSA S.A.,2026,2,22410.72,750,verificado
AMBIENSA S.A.,2026,3,7835.68,896,verificado
AMBIENSA S.A.,2026,4,14921.87,1019,verificado
AMBIENSA S.A.,2026,5,32525.04,1395,verificado
AMBIENSA S.A.,2026,6,1136.17,116,verificado
AMBIENTE,2026,2,5227.24,25,verificado
AMBIENTE,2026,3,5251.52,28,verificado
AMBIENTE,2026,4,1652.76,13,verificado
AMBIENTE,2026,5,2071.64,8,verificado
AMBIENTE,2026,6,280.02,1,verificado
AMBIENTES DESIGN,2026,5,2520.17,9,verificado
AMERICA 104.5 FM QUITO,2026,1,7967.39,979,verificado
AMERICA 104.5 FM QUITO,2026,2,6131.99,713,verificado
AMERICA 104.5 FM QUITO,2026,3,1511.05,209,verificado
AMERICA 104.5 FM QUITO,2026,5,693.0,101,verificado
AMERICA 104.5 FM QUITO,2026,6,163.59,24,verificado
AMERICA ECONOMIA,2026,5,1364.22,1,verificado
AMERICAN EAGLE,2026,2,9323.48,36,verificado
AMERICAN EAGLE,2026,3,6193.52,29,verificado
AMERICAN EAGLE,2026,4,3224.25,13,verificado
AMERICAN EAGLE,2026,5,8304.28,30,verificado
AMERICAN EAGLE,2026,6,560.04,2,verificado
AMERICAN EXPRESS BCO. DE GUAYAQUIL,2026,1,251.58,29,verificado
AMERICAN EXPRESS BCO. DE GUAYAQUIL,2026,2,13192.34,595,verificado
AMERICAN EXPRESS BCO. DE GUAYAQUIL,2026,3,13137.74,522,verificado
AMERICAN EXPRESS BCO. DE GUAYAQUIL,2026,4,14575.77,501,verificado
AMERICAN EXPRESS BCO. DE GUAYAQUIL,2026,5,7578.66,92,verificado
AMERICAN NATURAL,2026,2,10473.21,21,verificado
AMERICAN NATURAL,2026,3,39465.19,90,verificado
AMERICAN NATURAL,2026,4,15242.88,24,verificado
AMERICAN NATURAL,2026,5,44882.51,85,verificado
AMERICAN NATURAL,2026,6,3650.32,4,verificado
AMERICAN TRUCKS,2026,4,15.88,1,verificado
AMERICAN WIDE,2026,1,1176.9,7,verificado
AMIGUI,2026,5,280.02,1,verificado
AMPER,2026,3,2654.78,4,verificado
AMPER,2026,4,7477.64,9,verificado
AMPER,2026,5,4314.04,11,verificado
AMPER,2026,6,995.55,2,verificado
AMSTEL,2026,2,1200.09,4,verificado
AMSTEL,2026,3,22067.88,132,verificado
AMSTEL,2026,4,63245.1,708,verificado
AMSTEL,2026,5,56422.85,670,verificado
AMSTEL,2026,6,4322.11,40,verificado
AMYEL,2026,2,2100.15,7,verificado
AMYEL,2026,3,2704.16,9,verificado
ANA,2026,2,19247.13,26,verificado
ANA,2026,3,663.7,1,verificado
ANA,2026,4,287.6,1,verificado
ANA,2026,5,12610.22,18,verificado
ANA MARIA LA JUSTICIA,2026,2,300.02,1,verificado
ANA MARIA LA JUSTICIA,2026,3,329.07,2,verificado
ANAHISOFT,2026,3,22.4,2,verificado
ANALGAN RAPID,2026,6,1955.98,24,verificado
ANATEK,2026,2,3217.61,14,verificado
ANATEK,2026,3,2719.53,16,verificado
ANATEK,2026,4,5959.26,28,verificado
ANATEK,2026,5,12288.63,90,verificado
ANDEAN (ORANGINE),2026,2,884.92,4,verificado
ANDEAN (ORANGINE),2026,3,442.46,2,verificado
ANDES BREWING,2026,2,402.2,2,verificado
